inventory_id,product_id,store_id,stock_quantity,reorder_level,last_restock_date
1,1,1,8,10,2026-06-14
2,1,2,39,15,2026-07-10
3,1,3,16,15,2026-07-15
4,1,4,80,15,2026-07-30
5,1,5,40,10,2026-07-02
6,1,6,34,20,2026-08-26
7,1,7,71,15,2026-08-26
8,1,8,77,20,2026-07-25
9,2,1,48,15,2026-06-23
10,2,2,34,20,2026-06-16
11,2,3,66,20,2026-06-06
12,2,4,32,20,2026-07-02
13,2,5,51,10,2026-06-03
14,2,6,12,15,2026-08-21
15,2,7,79,20,2026-06-26
16,2,8,54,20,2026-07-24
17,3,1,49,10,2026-07-22
18,3,2,19,20,2026-08-20
19,3,3,66,20,2026-07-31
20,3,4,35,10,2026-07-31
21,3,5,32,20,2026-07-11
22,3,6,59,20,2026-06-22
23,3,7,39,20,2026-08-05
24,3,8,24,10,2026-08-13
25,4,1,49,20,2026-07-21
26,4,2,47,20,2026-07-04
27,4,3,24,15,2026-08-26
28,4,4,54,20,2026-07-31
29,4,5,16,15,2026-08-31
30,4,6,15,10,2026-07-08
31,4,7,78,10,2026-06-18
32,4,8,66,20,2026-07-22
33,5,1,61,10,2026-07-28
34,5,2,5,15,2026-07-19
35,5,3,76,20,2026-06-15
36,5,4,66,10,2026-07-13
37,5,5,64,20,2026-06-19
38,5,6,20,20,2026-06-18
39,5,7,54,10,2026-07-16
40,5,8,8,15,2026-08-31
41,6,1,80,20,2026-08-20
42,6,2,29,15,2026-07-06
43,6,3,55,15,2026-07-24
44,6,4,31,20,2026-08-10
45,6,5,62,10,2026-06-16
46,6,6,42,20,2026-08-22
47,6,7,46,15,2026-08-04
48,6,8,5,10,2026-08-18
49,7,1,35,15,2026-08-26
50,7,2,21,15,2026-08-31
51,7,3,17,20,2026-08-11
52,7,4,55,15,2026-08-16
53,7,5,24,15,2026-07-14
54,7,6,21,20,2026-08-25
55,7,7,12,15,2026-06-06
56,7,8,27,15,2026-06-09
57,8,1,5,10,2026-08-27
58,8,2,15,10,2026-08-27
59,8,3,12,10,2026-07-14
60,8,4,59,10,2026-07-26
61,8,5,14,20,2026-07-31
62,8,6,29,20,2026-07-06
63,8,7,37,20,2026-08-21
64,8,8,70,10,2026-06-20
65,9,1,16,10,2026-06-03
66,9,2,11,20,2026-08-13
67,9,3,70,10,2026-08-25
68,9,4,29,20,2026-07-11
69,9,5,53,20,2026-08-21
70,9,6,11,20,2026-08-29
71,9,7,76,15,2026-08-03
72,9,8,21,10,2026-08-28
73,10,1,32,10,2026-06-10
74,10,2,38,20,2026-07-06
75,10,3,72,10,2026-08-05
76,10,4,64,20,2026-07-04
77,10,5,57,15,2026-07-13
78,10,6,58,10,2026-08-19
79,10,7,22,10,2026-06-12
80,10,8,72,20,2026-06-20
81,11,1,22,10,2026-07-25
82,11,2,32,10,2026-08-09
83,11,3,55,15,2026-06-18
