order_id,customer_id,store_id,payment_id,order_date
1,262,2,1,2026-04-10
2,335,4,2,2025-07-02
3,72,4,3,2025-03-31
4,142,3,4,2026-08-20
5,390,7,5,2026-01-15
6,2,2,6,2025-12-14
7,236,1,7,2025-01-06
8,191,3,8,2024-10-24
9,357,6,9,2025-01-02
10,322,3,10,2025-10-27
11,64,7,11,2025-08-26
12,338,5,12,2025-03-30
13,163,3,13,2025-10-02
14,135,4,14,2024-10-11
15,275,3,15,2025-06-12
16,168,7,16,2026-04-24
17,360,1,17,2025-02-15
18,16,6,18,2025-11-14
19,261,1,19,2024-10-16
20,92,1,20,2026-03-21
21,397,5,21,2025-08-02
22,126,3,22,2024-09-07
23,5,6,23,2024-09-02
24,31,3,24,2026-08-30
25,267,7,25,2026-08-19
26,67,4,26,2025-06-26
27,300,2,27,2025-02-07
28,395,4,28,2025-12-07
29,365,4,29,2025-08-31
30,237,2,30,2025-01-22
31,206,6,31,2026-08-04
32,170,2,32,2024-10-14
33,203,8,33,2024-10-01
34,103,4,34,2026-06-08
35,177,6,35,2025-10-03
36,399,5,36,2024-10-30
37,378,6,37,2026-04-29
38,170,4,38,2025-01-12
39,224,8,39,2026-06-27
40,376,5,40,2025-01-09
41,382,2,41,2025-05-02
42,56,1,42,2024-10-20
43,296,4,43,2025-02-14
44,54,2,44,2025-08-17
45,221,3,45,2026-05-15
46,98,7,46,2026-08-15
47,321,8,47,2025-03-24
48,158,7,48,2025-12-27
49,212,4,49,2026-03-21
50,366,1,50,2026-01-28
51,322,3,51,2026-05-03
52,7,7,52,2024-12-25
53,289,2,53,2025-06-20
54,312,7,54,2024-10-10
55,252,2,55,2025-04-22
56,209,8,56,2026-02-11
57,207,3,57,2026-02-19
58,128,1,58,2025-12-12
59,251,8,59,2025-03-01
60,138,7,60,2026-02-08
61,155,7,61,2026-04-22
62,56,8,62,2024-11-05
63,349,3,63,2024-09-27
64,114,8,64,2026-07-20
65,114,6,65,2025-04-17
66,299,2,66,2025-12-28
67,93,2,67,2026-01-13
68,103,6,68,2024-09-15
69,149,8,69,2026-02-15
70,87,2,70,2025-09-11
71,352,1,71,2025-07-06
72,55,8,72,2025-03-23
73,104,6,73,2026-08-22
74,170,4,74,2024-09-03
75,90,1,75,2025-06-25
76,206,7,76,2025-12-12
77,303,8,77,2026-04-06
78,211,8,78,2024-10-18
79,353,2,79,2025-11-18
80,143,1,80,2026-02-02
81,212,1,81,2026-03-25
82,344,8,82,2025-08-16
83,308,8,83,2026-07-05
84,97,2,84,2025-10-06
85,222,8,85,2026-02-03
86,359,5,86,2026-08-20
87,333,3,87,2026-01-29
88,344,1,88,2025-03-24
89,152,4,89,2026-03-09
90,357,5,90,2026-08-11
91,28,1,91,2025-05-16
92,89,2,92,2025-09-22
93,166,1,93,2026-06-03
94,340,6,94,2025-08-06
95,329,4,95,2024-10-11
96,395,6,96,2026-02-09
97,396,1,97,2026-06-04
98,106,7,98,2026-06-25
99,61,1,99,2026-06-19
100,145,8,100,2025-09-26
101,22,1,101,2026-04-10
102,263,3,102,2025-02-12
103,344,1,103,2026-03-17
104,316,5,104,2026-08-12
105,161,4,105,2025-04-15
106,321,2,106,2024-11-17
107,47,7,107,2025-09-08
108,92,3,108,2026-01-09
109,119,2,109,2025-05-29
110,185,7,110,2025-12-25
111,267,5,111,2025-05-28
112,208,6,112,2025-08-20
113,330,5,113,2025-04-05
114,213,6,114,2024-12-26
115,265,7,115,2026-05-07
116,371,6,116,2025-12-09
117,351,7,117,2025-02-01
118,273,2,118,2024-12-05
119,380,2,119,2025-11-10
120,4,2,120,2026-02-15
121,188,5,121,2026-07-29
122,248,5,122,2025-07-12
123,261,7,123,2025-08-13
124,41,1,124,2025-09-29
125,18,4,125,2026-05-23
126,282,5,126,2026-03-27
127,55,2,127,2026-01-29
128,289,8,128,2025-05-08
129,212,6,129,2026-02-11
130,345,6,130,2024-11-17
131,383,4,131,2026-01-24
132,128,6,132,2025-02-07
133,315,1,133,2026-03-09
134,144,7,134,2025-04-16
135,17,6,135,2025-10-09
136,52,6,136,2025-09-06
137,215,6,137,2025-09-09
138,101,3,138,2025-02-01
139,323,6,139,2026-01-12
140,50,8,140,2025-08-09
141,400,5,141,2025-08-30
142,310,7,142,2025-06-05
143,65,4,143,2026-07-10
144,54,5,144,2026-05-26
145,146,8,145,2026-06-04
146,167,8,146,2025-12-23
147,178,8,147,2026-03-07
148,6,1,148,2026-02-18
149,393,7,149,2025-06-27
150,224,7,150,2025-05-14
151,140,8,151,2025-03-12
152,53,5,152,2025-06-03
153,37,8,153,2025-03-05
154,377,2,154,2026-02-16
155,22,2,155,2025-05-18
156,80,6,156,2024-12-01
157,331,3,157,2026-08-20
158,286,6,158,2025-11-24
159,129,1,159,2026-01-10
160,240,5,160,2026-05-07
161,135,6,161,2025-12-09
162,329,6,162,2024-12-23
163,293,7,163,2026-07-06
164,381,7,164,2025-09-13
165,156,2,165,2025-04-10
166,99,4,166,2026-04-07
167,296,6,167,2026-07-23
168,312,4,168,2026-03-31
169,204,1,169,2024-10-06
170,293,3,170,2024-12-06
171,48,7,171,2026-04-06
172,117,1,172,2026-06-12
173,345,7,173,2025-12-01
174,223,3,174,2025-01-17
175,166,2,175,2024-12-25
176,227,3,176,2025-11-26
177,44,2,177,2024-10-26
178,133,8,178,2026-05-31
