payment_id,payment_method,payment_status
1,Credit Card,Completed
2,Credit Card,Refunded
3,Credit Card,Completed
4,Debit Card,Completed
5,Debit Card,Completed
6,Wallet,Completed
7,Debit Card,Completed
8,Net Banking,Completed
9,Net Banking,Completed
10,Net Banking,Completed
11,Net Banking,Completed
12,Cash on Delivery,Failed
13,Cash on Delivery,Completed
14,Credit Card,Completed
15,Credit Card,Completed
16,Wallet,Completed
17,Net Banking,Completed
18,UPI,Completed
19,Credit Card,Completed
20,Wallet,Completed
21,Credit Card,Completed
22,Net Banking,Completed
23,Wallet,Completed
24,UPI,Completed
25,UPI,Completed
26,UPI,Completed
27,Credit Card,Completed
28,UPI,Completed
29,Net Banking,Completed
30,Credit Card,Completed
31,Wallet,Completed
32,Net Banking,Completed
33,Net Banking,Completed
34,Cash on Delivery,Refunded
35,UPI,Failed
36,Net Banking,Completed
37,Credit Card,Completed
38,UPI,Completed
39,UPI,Completed
40,Debit Card,Completed
41,UPI,Completed
42,Net Banking,Completed
43,Net Banking,Completed
44,Debit Card,Refunded
45,Net Banking,Completed
46,Cash on Delivery,Completed
47,Credit Card,Completed
48,Net Banking,Completed
49,Credit Card,Completed
50,Cash on Delivery,Completed
51,UPI,Failed
52,Net Banking,Completed
53,Cash on Delivery,Refunded
54,Net Banking,Completed
55,Debit Card,Completed
56,UPI,Refunded
57,Cash on Delivery,Completed
58,Credit Card,Completed
59,Net Banking,Completed
60,Credit Card,Completed
61,Credit Card,Completed
62,UPI,Completed
63,Wallet,Completed
64,UPI,Completed
65,Wallet,Completed
66,Debit Card,Completed
67,UPI,Completed
68,UPI,Completed
69,Cash on Delivery,Completed
70,Wallet,Failed
71,Net Banking,Completed
72,Cash on Delivery,Completed
73,Net Banking,Completed
74,Credit Card,Completed
75,UPI,Completed
76,UPI,Completed
77,Wallet,Completed
78,Credit Card,Completed
79,Wallet,Completed
80,Debit Card,Completed
81,Cash on Delivery,Completed
82,UPI,Completed
83,UPI,Completed
84,Debit Card,Completed
85,Debit Card,Completed
86,Cash on Delivery,Completed
87,Cash on Delivery,Completed
88,UPI,Completed
89,Credit Card,Completed
90,Wallet,Completed
91,Debit Card,Completed
92,Credit Card,Completed
93,Cash on Delivery,Completed
94,UPI,Completed
95,Wallet,Completed
96,Cash on Delivery,Completed
97,Credit Card,Completed
98,Credit Card,Completed
99,Wallet,Completed
100,Net Banking,Completed
101,Cash on Delivery,Completed
102,Debit Card,Completed
103,Net Banking,Completed
104,Cash on Delivery,Completed
105,Wallet,Refunded
106,Credit Card,Completed
107,Cash on Delivery,Completed
108,UPI,Completed
109,UPI,Completed
110,Net Banking,Completed
111,Cash on Delivery,Completed
112,Net Banking,Completed
113,Debit Card,Refunded
114,Net Banking,Completed
115,Cash on Delivery,Completed
116,Cash on Delivery,Completed
117,Cash on Delivery,Completed
118,Net Banking,Completed
119,Debit Card,Completed
120,Credit Card,Completed
121,Net Banking,Completed
122,Cash on Delivery,Completed
123,Cash on Delivery,Completed
124,Net Banking,Completed
125,Debit Card,Completed
126,Cash on Delivery,Completed
127,UPI,Completed
128,UPI,Completed
129,Cash on Delivery,Completed
130,Cash on Delivery,Completed
131,Wallet,Completed
132,Credit Card,Completed
133,Credit Card,Completed
134,Cash on Delivery,Completed
135,Debit Card,Refunded
136,Cash on Delivery,Completed
137,Net Banking,Completed
138,Net Banking,Completed
139,UPI,Completed
140,UPI,Failed
141,UPI,Failed
142,Net Banking,Completed
143,UPI,Completed
144,Debit Card,Completed
145,Debit Card,Completed
146,Cash on Delivery,Completed
147,Debit Card,Completed
148,Debit Card,Completed
149,Cash on Delivery,Completed
150,Debit Card,Completed
151,UPI,Refunded
152,Debit Card,Completed
153,Debit Card,Completed
154,Wallet,Completed
155,Net Banking,Failed
156,Debit Card,Completed
157,Cash on Delivery,Completed
158,Wallet,Completed
159,Wallet,Completed
160,Cash on Delivery,Completed
161,Credit Card,Completed
162,Credit Card,Completed
163,Net Banking,Completed
164,Wallet,Completed
165,Cash on Delivery,Completed
166,Wallet,Completed
167,Net Banking,Completed
168,Cash on Delivery,Completed
169,UPI,Completed
170,Credit Card,Completed
171,Debit Card,Completed
172,Wallet,Completed
173,Cash on Delivery,Completed
174,Net Banking,Completed
175,Wallet,Completed
176,Credit Card,Completed
177,Debit Card,Completed
178,Wallet,Completed
179,Debit Card,Refunded
