return_id,order_item_id,return_date,return_reason,refund_amount
1,17,2025-01-18,Late Delivery,4524.16
2,19,2024-11-02,Wrong Item,306.1
3,39,2025-03-07,Defective,1096.26
4,57,2025-07-10,No Longer Needed,1312.96
5,70,2024-10-11,Wrong Item,2677.32
6,98,2025-04-01,Defective,1302.37
7,101,2026-01-12,Size Issue,15138.84
8,109,2026-05-21,No Longer Needed,3055.81
9,116,2025-04-30,Size Issue,3817.19
10,119,2025-12-31,Not as Described,8463.35
11,121,2025-03-08,Wrong Item,3709.04
12,122,2025-03-07,Late Delivery,1418.92
13,125,2026-02-17,Not as Described,3634.02
14,149,2026-02-20,Size Issue,9139.99
15,168,2024-11-02,Not as Described,5516.56
16,169,2025-12-02,Defective,10743.23
17,182,2025-10-16,Not as Described,5314.14
18,205,2025-08-24,Wrong Item,405.73
19,222,2026-03-22,Size Issue,4702.1
20,224,2026-04-02,Defective,1512.04
21,226,2025-04-27,Late Delivery,9931.36
22,228,2025-04-23,No Longer Needed,3251.82
23,251,2024-12-17,Wrong Item,3698.91
24,252,2025-11-14,Wrong Item,1938.03
25,253,2025-11-25,Defective,1197.18
26,269,2026-02-17,Wrong Item,3012.82
27,272,2026-03-01,Late Delivery,1158.64
28,274,2026-01-28,Wrong Item,4437.81
29,289,2025-09-14,Not as Described,489.06
30,302,2025-05-16,Late Delivery,6645.43
31,328,2026-07-14,Size Issue,6292.56
32,329,2025-10-01,Size Issue,14872.71
33,330,2025-04-24,Late Delivery,2128.68
34,333,2026-07-31,Defective,8941.67
35,361,2025-07-04,Defective,1243.84
36,364,2024-10-07,Late Delivery,750.48
37,369,2026-03-04,Late Delivery,3437.06
38,387,2025-10-13,Defective,1606.23
39,393,2025-05-16,Defective,2951.22
40,403,2024-09-27,Late Delivery,2544.48
41,439,2026-05-28,Wrong Item,1378.65
42,455,2025-03-09,Not as Described,10663.64
43,461,2025-11-10,No Longer Needed,4650.98
44,465,2025-08-20,No Longer Needed,3252.08
45,468,2026-08-15,No Longer Needed,2997.34
46,471,2025-05-31,Size Issue,7620.59
47,511,2026-05-15,Wrong Item,8422.79
48,519,2026-06-17,Not as Described,5424.9
49,552,2025-05-05,Not as Described,5050.08
50,573,2025-09-02,Late Delivery,7037.16
51,579,2025-07-31,No Longer Needed,2665.74
52,589,2025-03-09,Not as Described,2845.82
53,609,2025-02-14,Not as Described,2301.45
54,615,2026-02-23,Size Issue,4419.38
55,619,2026-02-01,Late Delivery,4489.69
56,637,2025-04-03,Wrong Item,4441.53
57,641,2026-08-25,Size Issue,9992.68
58,652,2025-02-22,Wrong Item,2987.56
59,677,2026-01-02,Defective,7051.86
60,690,2025-02-23,Size Issue,2969.24
61,715,2026-01-05,Late Delivery,4163.76
62,727,2024-12-09,Size Issue,1567.05
63,730,2025-07-22,Not as Described,3191.13
64,735,2025-05-17,Size Issue,3437.45
65,739,2025-02-26,Size Issue,1135.99
66,741,2025-02-20,Not as Described,6102.15
67,742,2025-06-13,Not as Described,1498.31
68,789,2025-01-23,Wrong Item,2976.21
69,798,2025-06-26,Defective,5311.44
70,802,2025-09-22,Wrong Item,3818.95
71,821,2025-10-01,Not as Described,1807.04
72,847,2025-03-19,Not as Described,3085.43
73,859,2025-09-01,No Longer Needed,1997.51
74,886,2025-04-11,Size Issue,13757.68
75,891,2024-12-20,Wrong Item,4766.58
76,903,2025-12-20,No Longer Needed,5787.93
77,909,2026-07-11,Defective,9717.45
78,925,2026-06-20,Wrong Item,2226.44
79,959,2026-06-05,No Longer Needed,2223.63
80,979,2026-02-10,Size Issue,1873.99
81,997,2026-05-27,No Longer Needed,3642.54
82,1008,2025-10-01,Not as Described,7532.11
83,1012,2026-01-12,Defective,8897.93
84,1051,2026-08-07,Size Issue,2782.2
85,1062,2025-08-15,Late Delivery,7827.6
86,1065,2025-03-30,No Longer Needed,2697.84
